Hour;Temperature °C
1672;7.03E-02
1673;1.04E-02
1674;-0.27449
1675;-0.567
1676;-0.867
1677;-1.167
1678;-1.467
1679;-1.7662
1680;-1.8146
1681;-1.889
1682;-1.9093
1683;-1.8775
1684;-1.8409
1685;-1.7995
1686;-1.7328
1687;-1.6701
1688;-1.6112
1689;-1.5367
1690;-1.4701
1691;-1.4098
1692;-1.1509
1693;-0.89213
1694;-0.63464
1695;-0.54441
1696;-0.47013
1697;-0.41244
1698;-0.49673
1699;-0.589
1700;-0.68848
1701;-0.72181
1702;-0.75913
1703;-0.80124
1704;-0.96005
1705;-1.089
1706;-1.3
1707;-1.3
1708;-1.3
1709;-1.2997
1710;-1.2745
1711;-1.241
1712;-1.198
1713;-1.0395
1714;-0.88102
1715;-0.72004
1716;-0.36153
1717;-3.02E-03
1718;0.34773
1719;7.97E-02
1720;-0.22602
1721;-0.56473
1722;-0.68104
1723;-0.789
1724;-0.88755
1725;-0.87054
1726;-0.84098
1727;-0.80114
1728;-0.89298
1729;-0.989
1730;-1.0758
1731;-1.3447
1732;-1.6081
1733;-1.8596
1734;-1.7268
1735;-1.5809
1736;-1.4193
1737;-1.0611
1738;-0.70291
1739;-0.35023
1740;-0.31636
1741;-0.3
1742;-0.29958
1743;-0.27471
1744;-0.19303
1745;-0.20004
1746;-0.20705
1747;-0.25762
1748;-0.32211
1749;-0.39438
1750;-0.489
1751;-0.58183
1752;-0.59221
1753;-0.689
1754;-0.70301
1755;-0.78015
1756;-0.83174
1757;-0.8663
1758;-0.88475
1759;-0.84274
1760;-0.75667
1761;-0.60101
1762;-0.36474
1763;-0.1447
1764;-2.63E-02
1765;3.17E-02
1766;8.90E-02
1767;9.46E-02
1768;2.60E-02
1769;3.69E-47
1770;-0.267
1771;-0.567
1772;-0.86952
1773;-1.1836
1774;-1.5238
1775;-1.8695
1776;-2.1836
1777;-2.556
1778;-2.8975
1779;-2.912
1780;-2.9569
1781;-2.9822
1782;-2.9049
1783;-2.811
1784;-2.6396
1785;-2.2305
1786;-1.755
1787;-1.311
1788;-1.0534
1789;-0.88158
